Фактор,Корреляция,Показатель
Экранное время (мин),0.003953190030749322,Тревога
Переключения приложений,-0.028694688216493583,Тревога
Часы сна,0.01495199846730924,Тревога
Уведомления,0.30100438284295933,Тревога
Соцсети (мин),0.311640260825962,Тревога
Экранное время (мин),-0.3069482555564466,Концентрация
Переключения приложений,-0.27934988548454404,Концентрация
Часы сна,0.010127536660372105,Концентрация
Уведомления,-0.3363257181908657,Концентрация
Соцсети (мин),-0.05338785045129286,Концентрация
